Epoch:0, Duration:165.372528, Train_Cost:78.782189, Valid_Cost:71.670093, Test_Cost:70.464839
Epoch:1, Duration:162.741497, Train_Cost:73.385142, Valid_Cost:71.175158, Test_Cost:69.940484
Epoch:2, Duration:164.308385, Train_Cost:72.599962, Valid_Cost:70.798433, Test_Cost:69.617591
Epoch:3, Duration:161.659557, Train_Cost:72.091344, Valid_Cost:70.565672, Test_Cost:69.402065
Epoch:4, Duration:168.352229, Train_Cost:71.732041, Valid_Cost:70.365251, Test_Cost:69.150053
Epoch:5, Duration:154.754556, Train_Cost:71.423967, Valid_Cost:70.319037, Test_Cost:69.120891
Epoch:6, Duration:162.596708, Train_Cost:71.223532, Valid_Cost:70.113779, Test_Cost:68.946837
Epoch:7, Duration:149.728871, Train_Cost:71.040535, Valid_Cost:70.088953, Test_Cost:68.912859
Epoch:8, Duration:148.227847, Train_Cost:70.921056, Valid_Cost:70.066325, Test_Cost:68.905927
Epoch:9, Duration:158.982142, Train_Cost:70.801963, Valid_Cost:70.017794, Test_Cost:68.843462
Epoch:10, Duration:157.885490, Train_Cost:70.723822, Valid_Cost:69.931414, Test_Cost:68.766150
Epoch:11, Duration:167.213987, Train_Cost:70.661191, Valid_Cost:69.886233, Test_Cost:68.718347
Epoch:12, Duration:170.351306, Train_Cost:70.602403, Valid_Cost:69.841706, Test_Cost:68.654273
Epoch:13, Duration:176.623658, Train_Cost:70.543177, Valid_Cost:69.879636, Test_Cost:68.694726
Epoch:14, Duration:167.223818, Train_Cost:70.512161, Valid_Cost:69.777793, Test_Cost:68.598613
Epoch:15, Duration:153.769036, Train_Cost:70.471424, Valid_Cost:69.811654, Test_Cost:68.619500
Epoch:16, Duration:156.335339, Train_Cost:70.423257, Valid_Cost:69.757773, Test_Cost:68.614353
Epoch:17, Duration:158.930334, Train_Cost:70.408831, Valid_Cost:69.712346, Test_Cost:68.533207
Epoch:18, Duration:164.016793, Train_Cost:70.384278, Valid_Cost:69.736640, Test_Cost:68.526267
Epoch:19, Duration:162.282271, Train_Cost:70.349526, Valid_Cost:69.735357, Test_Cost:68.536348
Epoch:20, Duration:172.557735, Train_Cost:70.327137, Valid_Cost:69.698033, Test_Cost:68.524481
Epoch:21, Duration:169.145967, Train_Cost:70.297524, Valid_Cost:69.704018, Test_Cost:68.519463
Epoch:22, Duration:171.583305, Train_Cost:70.294738, Valid_Cost:69.691230, Test_Cost:68.496821
Epoch:23, Duration:154.154081, Train_Cost:70.297102, Valid_Cost:69.634318, Test_Cost:68.424591
Epoch:24, Duration:168.891196, Train_Cost:70.270692, Valid_Cost:69.629728, Test_Cost:68.419405
Epoch:25, Duration:174.690821, Train_Cost:70.255499, Valid_Cost:69.632481, Test_Cost:68.437170
Epoch:26, Duration:176.226342, Train_Cost:70.259857, Valid_Cost:69.650951, Test_Cost:68.451351
Epoch:27, Duration:154.197309, Train_Cost:70.236136, Valid_Cost:69.598550, Test_Cost:68.391301
Epoch:28, Duration:155.410392, Train_Cost:70.240040, Valid_Cost:69.615604, Test_Cost:68.405992
Epoch:29, Duration:162.150939, Train_Cost:70.236969, Valid_Cost:69.658310, Test_Cost:68.480220
Epoch:30, Duration:150.997470, Train_Cost:70.216077, Valid_Cost:69.584397, Test_Cost:68.388765
Epoch:31, Duration:154.649966, Train_Cost:70.218793, Valid_Cost:69.541610, Test_Cost:68.346713
Epoch:32, Duration:148.705252, Train_Cost:70.191595, Valid_Cost:69.546473, Test_Cost:68.399307
Epoch:33, Duration:153.794290, Train_Cost:70.200502, Valid_Cost:69.567113, Test_Cost:68.373081
